"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case examines registering an account after placing an order works as intended or not","26415","PlaceOrderRegisterWhileCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegister","Order_TestCases","Order_TestCases.PlaceOrderRegister","PlaceOrderRegisterWhileCheckout"
"This test case verifies that the subscription works as intended in the cart page","3063","Subscription_CartPage","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Miscellaneous_TestCases.Misc_TestCases","Misc_TestCases","Miscellaneous_TestCases.Misc_TestCases","Subscription_CartPage"
"This test case examines whether an existing email triggers a warning or not","15305","ExistingEmailSignUp","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ExistingEmailSignUp","Authentication_TestCases","Authentication_TestCases.ExistingEmailSignUp","ExistingEmailSignUp"
"This test case examines placing an order after logging in works as intended or not","28717","PlaceOrderLogin","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderLogin","Order_TestCases","Order_TestCases.PlaceOrderLogin","PlaceOrderLogin"
"This test case examines whether an existing email triggers a warning or not","26531","ExistingEmailSignUp","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ExistingEmailSignUp","Authentication_TestCases","Authentication_TestCases.ExistingEmailSignUp","ExistingEmailSignUp"
"This test case examines placing an order after logging in works as intended or not","23609","PlaceOrderLogin","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderLogin","Order_TestCases","Order_TestCases.PlaceOrderLogin","PlaceOrderLogin"
"This test case tests whether the signup formData works as intended or not","29596","SignUpScenarios","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.SignUp","Authentication_TestCases","Authentication_TestCases.SignUp","SignUpScenarios"
"This test case examines scrolling up using scroll up arrow","2066","ScrollingUpWithButton_TC","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","ScrollingHomePage_TestCases.ScrollingTestCases","Scrolling_TestCases","ScrollingHomePage_TestCases.ScrollingTestCases","ScrollingUpWithButton_TC"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","16174","SearchProducts","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
"This test case examines downloading the invoice after making an order","12988","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case verifies that the product and product details page works as intended","7095","VerifyProductPage","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.VerifyProductPage","Product_TestCases","Product_TestCases.VerifyProductPage","VerifyProductPage"
"This test case examines removing products from cart working as intended or not","10064","RemoveProductsFromCart","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.RemoveProductsFromCart","Product_TestCases","Product_TestCases.RemoveProductsFromCart","RemoveProductsFromCart"
"This test case examines scrolling up without using scroll up arrow","1450","ScrollingUpWithoutButton_TC","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","ScrollingHomePage_TestCases.ScrollingTestCases","Scrolling_TestCases","ScrollingHomePage_TestCases.ScrollingTestCases","ScrollingUpWithoutButton_TC"
"This test case examines whether the Contact Us functionality works as intended or not","8887","ContactUs_TestCase","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Miscellaneous_TestCases.Misc_TestCases","Misc_TestCases","Miscellaneous_TestCases.Misc_TestCases","ContactUs_TestCase"
"This test case examines whether an existing email triggers a warning or not","16717","ExistingEmailSignUp","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ExistingEmailSignUp","Authentication_TestCases","Authentication_TestCases.ExistingEmailSignUp","ExistingEmailSignUp"
"This test case tests whether the signup formData works as intended or not","44143","SignUpScenarios","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.SignUp","Authentication_TestCases","Authentication_TestCases.SignUp","SignUpScenarios"
"This test case examines that the cart contains the searched products after logging in","30491","SearchProducts_and_VerifyCartAfterLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.SearchProduct_CartLogin","Product_TestCases","Product_TestCases.SearchProduct_CartLogin","SearchProducts_and_VerifyCartAfterLogin"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","4331","SearchProducts","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
"This test case examines registering an account after placing an order works as intended or not","22220","PlaceOrderRegisterWhileCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegister","Order_TestCases","Order_TestCases.PlaceOrderRegister","PlaceOrderRegisterWhileCheckout"
"This test case examines downloading the invoice after making an order","13264","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case examines downloading the invoice after making an order","13579","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case examines adding products to cart from recommended items","14193","VerifyAddressDetails","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.VerifyAddressDetails","Order_TestCases","Order_TestCases.VerifyAddressDetails","VerifyAddressDetails"
"This test case examines whether the logout button functions as expected or not","13484","Logout","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.Logout","Authentication_TestCases","Authentication_TestCases.Logout","Logout"
"This test case examines whether the logout button functions as expected or not","10314","Logout","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.Logout","Authentication_TestCases","Authentication_TestCases.Logout","Logout"
"This test case examines downloading the invoice after making an order","14833","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case examines whether the logout button functions as expected or not","8277","Logout","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.Logout","Authentication_TestCases","Authentication_TestCases.Logout","Logout"
"This test case examines registering an account before placing an order works as intended or not","16246","PlaceOrderRegisterBeforeCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegisterBeforeCheckout","Order_TestCases","Order_TestCases.PlaceOrderRegisterBeforeCheckout","PlaceOrderRegisterBeforeCheckout"
"This test case tests whether the signup formData works as intended or not","16629","SignUpScenarios","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.SignUp","Authentication_TestCases","Authentication_TestCases.SignUp","SignUpScenarios"
"This test case examines registering an account before placing an order works as intended or not","17925","PlaceOrderRegisterBeforeCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegisterBeforeCheckout","Order_TestCases","Order_TestCases.PlaceOrderRegisterBeforeCheckout","PlaceOrderRegisterBeforeCheckout"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","8479","SearchProducts","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
"This test case examines whether the login function works as intended or not with correct email and password","10797","ValidLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ValidLogin","Authentication_TestCases","Authentication_TestCases.ValidLogin","ValidLogin"
"This test case verifies that adding products to the cart works as intended or not","6362","AddProductsToCart","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.AddProductsCart","Product_TestCases","Product_TestCases.AddProductsCart","AddProductsToCart"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","9917","SearchProducts","AutomationExercisesSuite","2025-09-22","failed","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
"This test case examines downloading the invoice after making an order","12934","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case verifies that the subscription works as intended","1844","Subscription_HomePage","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Miscellaneous_TestCases.Misc_TestCases","Misc_TestCases","Miscellaneous_TestCases.Misc_TestCases","Subscription_HomePage"
"This test case examines adding products to cart from recommended items","11840","AddToCartFromRecommendedItems","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.AddToCartRecommendedItems","Product_TestCases","Product_TestCases.AddToCartRecommendedItems","AddToCartFromRecommendedItems"
"This test case examines whether the login function works as intended or not with incorrect email and password","3795","InvalidLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.InvalidLogin","Authentication_TestCases","Authentication_TestCases.InvalidLogin","InvalidLogin"
"This test case examines whether the test case functionality works as intended or not","3647","TestCasePage","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Miscellaneous_TestCases.Misc_TestCases","Misc_TestCases","Miscellaneous_TestCases.Misc_TestCases","TestCasePage"
"This test case examines downloading the invoice after making an order","13157","DownloadInvoice","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.DownloadInvoice","Order_TestCases","Order_TestCases.DownloadInvoice","DownloadInvoice"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","5191","SearchProducts","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
"This test case examines whether the login function works as intended or not with incorrect email and password","3850","InvalidLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.InvalidLogin","Authentication_TestCases","Authentication_TestCases.InvalidLogin","InvalidLogin"
"This test case examines whether the login function works as intended or not with incorrect email and password","4165","InvalidLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.InvalidLogin","Authentication_TestCases","Authentication_TestCases.InvalidLogin","InvalidLogin"
"This test case examines that the cart contains the searched products after logging in","48515","SearchProducts_and_VerifyCartAfterLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.SearchProduct_CartLogin","Product_TestCases","Product_TestCases.SearchProduct_CartLogin","SearchProducts_and_VerifyCartAfterLogin"
"This test case examines adding products to cart from recommended items","12700","VerifyAddressDetails","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.VerifyAddressDetails","Order_TestCases","Order_TestCases.VerifyAddressDetails","VerifyAddressDetails"
"This test case examines whether the login function works as intended or not with correct email and password","13017","ValidLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ValidLogin","Authentication_TestCases","Authentication_TestCases.ValidLogin","ValidLogin"
"This test case examines that the cart contains the searched products after logging in","13108","SearchProducts_and_VerifyCartAfterLogin","AutomationExercisesSuite","2025-09-22","failed","2025-09-22","Product_TestCases.SearchProduct_CartLogin","Product_TestCases","Product_TestCases.SearchProduct_CartLogin","SearchProducts_and_VerifyCartAfterLogin"
"This test case examines registering an account after placing an order works as intended or not","25820","PlaceOrderRegisterWhileCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegister","Order_TestCases","Order_TestCases.PlaceOrderRegister","PlaceOrderRegisterWhileCheckout"
"This test case examines the review functionality","5175","AddReviewOnProduct","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.AddReview","Product_TestCases","Product_TestCases.AddReview","AddReviewOnProduct"
"This test case verifies the product quantity after adding it to cart","10767","VerifyProductQuantity","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Order_TestCases.ProductQuantity","Order_TestCases","Order_TestCases.ProductQuantity","VerifyProductQuantity"
"This test case examines placing an order after logging in works as intended or not","26303","PlaceOrderLogin","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderLogin","Order_TestCases","Order_TestCases.PlaceOrderLogin","PlaceOrderLogin"
"This test case examines registering an account before placing an order works as intended or not","19743","PlaceOrderRegisterBeforeCheckout","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Order_TestCases.PlaceOrderRegisterBeforeCheckout","Order_TestCases","Order_TestCases.PlaceOrderRegisterBeforeCheckout","PlaceOrderRegisterBeforeCheckout"
"This test case examines adding products to cart from recommended items","48944","VerifyAddressDetails","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Order_TestCases.VerifyAddressDetails","Order_TestCases","Order_TestCases.VerifyAddressDetails","VerifyAddressDetails"
"This test case verifies viewing the right product by category","8201","ViewProductsByCategory","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.ViewCategoryProducts","Product_TestCases","Product_TestCases.ViewCategoryProducts","ViewProductsByCategory"
"This test case verifies that the correct products appear when searching by brand name","11894","AddProductsToCartByBrand","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Product_TestCases.ViewCartBrandProducts","Product_TestCases","Product_TestCases.ViewCartBrandProducts","AddProductsToCartByBrand"
"This test case examines whether the login function works as intended or not with correct email and password","10927","ValidLogin","AutomationExercisesSuite","2025-09-22","passed","2025-09-22","Authentication_TestCases.ValidLogin","Authentication_TestCases","Authentication_TestCases.ValidLogin","ValidLogin"
"This test case verifies whether the search bar in the products page works as intended or not and all the products searched using this keyword appear","13860","SearchProducts","AutomationExercisesSuite","2025-09-22","broken","2025-09-22","Product_TestCases.SearchProduct","Product_TestCases","Product_TestCases.SearchProduct","SearchProducts"
